Search result:
Query: 'force'
Document: 
Document 30, match - 0.5967360441695951
Document 17, match - 0.4817933976212228
Document 41, match - 0.4817933976212228
Document 18, match - 0.4701507807095069
Document 42, match - 0.4701507807095069
Document 100, match - 0.4291429317236985
Document 19, match - 0.3933616568490327
Document 43, match - 0.3933616568490327
Document 2, match - 0.35637357080876386
Document 29, match - 0.3555688959809768
Document 24, match - 0.3487080432311627
Document 52, match - 0.3466310092558011
Document 23, match - 0.339071776713696
Document 96, match - 0.32913527307093304
Document 99, match - 0.31860907986894005
Document 60, match - 0.31401523417522714
Document 46, match - 0.3139494947293579
Document 13, match - 0.30576047503303716
Document 37, match - 0.30576047503303716
Document 28, match - 0.3052767228211835
Document 45, match - 0.3041330622154245
Document 27, match - 0.2994771326750633
Document 11, match - 0.29945843014140267
Document 35, match - 0.29945843014140267
Document 51, match - 0.29748583902293757
Document 48, match - 0.29390173481088727
Document 14, match - 0.293725631967971
Document 38, match - 0.293725631967971
Document 12, match - 0.2893357591720035
Document 36, match - 0.2893357591720035
Document 50, match - 0.2863203232736119
Document 26, match - 0.2847628961606841
Document 1, match - 0.28271051797106656
Document 16, match - 0.2825744743608854
Document 40, match - 0.2825744743608854
Document 56, match - 0.28102126843904773
Document 44, match - 0.2786503005923924
Document 15, match - 0.27548851632722376
Document 39, match - 0.27548851632722376
Document 6, match - 0.2748366671178423
Document 33, match - 0.2745336948364661
Document 75, match - 0.2687960245054182
Document 55, match - 0.26080776944677975
Document 62, match - 0.2575113037891981
Document 49, match - 0.25371204016153154
Document 61, match - 0.25086975782872156
Document 59, match - 0.24781236905324724
Document 47, match - 0.24729593598523705
Document 80, match - 0.24723399832553017
Document 53, match - 0.2461342230693659
Document 95, match - 0.2458093175489383
Document 58, match - 0.24217129833395457
Document 76, match - 0.24038511477612146
Document 8, match - 0.240167118563436
Document 77, match - 0.23936351482469082
Document 84, match - 0.23692902732983737
Document 97, match - 0.23560014363938406
Document 98, match - 0.23553978320611416
Document 54, match - 0.2346870243892595
Document 83, match - 0.23288601848649748
Document 31, match - 0.232324574150533
Document 57, match - 0.23198986583774364
Document 79, match - 0.23102765945161227
Document 90, match - 0.22626349670567522
Document 64, match - 0.22567584394642107
Document 74, match - 0.22439542955345018
Document 87, match - 0.2220734786900926
Document 78, match - 0.2207382793202239
Document 9, match - 0.21547687485963835
Document 72, match - 0.21454554992750993
Document 32, match - 0.21425047130201327
Document 10, match - 0.2133462887899713
Document 67, match - 0.2107313004032849
Document 4, match - 0.2088743562542216
Document 81, match - 0.20792122176773953
Document 69, match - 0.20549069637402567
Document 66, match - 0.20520569864318322
Document 65, match - 0.20517029667049036
Document 20, match - 0.20414838201951818
Document 82, match - 0.20217492594798514
Document 89, match - 0.20198009900531802
Document 63, match - 0.19998407970599505
Document 22, match - 0.1957509401153713
Document 88, match - 0.19493454919923847
Document 5, match - 0.1870597092506288
Document 91, match - 0.18263075615356072
Document 25, match - 0.18045727886205107
Document 94, match - 0.18021042689297018
Document 7, match - 0.16883800660830547
Document 73, match - 0.16676202866428422
Document 93, match - 0.16545977913205687
Document 92, match - 0.1613010388097664
Document 86, match - 0.15415446942856253
Document 70, match - 0.1532733572670162
Document 21, match - 0.1511227859162308
Document 68, match - 0.1440667800064642
Document 71, match - 0.13658574447630176
Document 85, match - 0.1257904666327398
Document 3, match - 0.1254603005577332
Document 34, match - 0.06737646184181964
