Search result:
Query: 'force jedi'
Document: 
Document 32, match - 0.7675318887418855
Document 33, match - 0.3574327554792205
Document 30, match - 0.3535903613444349
Document 18, match - 0.3515795313812414
Document 42, match - 0.3515795313812414
Document 17, match - 0.32974400165837364
Document 41, match - 0.32974400165837364
Document 6, match - 0.3181186025134786
Document 19, match - 0.29597548451358335
Document 43, match - 0.29597548451358335
Document 29, match - 0.2911081948892281
Document 26, match - 0.2897852920800743
Document 52, match - 0.28735758186215216
Document 24, match - 0.28597414316249187
Document 23, match - 0.2844622907524394
Document 28, match - 0.28251948103414104
Document 100, match - 0.2806654723720855
Document 90, match - 0.27983401916284295
Document 51, match - 0.27766401338720686
Document 14, match - 0.2703523194810221
Document 38, match - 0.2703523194810221
Document 45, match - 0.2703367263300999
Document 11, match - 0.26786105574560654
Document 35, match - 0.26786105574560654
Document 13, match - 0.2656835167946112
Document 37, match - 0.2656835167946112
Document 44, match - 0.2655703375179645
Document 99, match - 0.26548774160136257
Document 48, match - 0.2635210462614
Document 46, match - 0.26115584489658517
Document 16, match - 0.2611379006535604
Document 40, match - 0.2611379006535604
Document 96, match - 0.2610047679030124
Document 1, match - 0.25974543393531463
Document 27, match - 0.2568899940755023
Document 50, match - 0.2522271677220689
Document 2, match - 0.25217697835503866
Document 60, match - 0.2506434879982338
Document 75, match - 0.24984054239651673
Document 56, match - 0.24863872150547683
Document 12, match - 0.2472629969322218
Document 36, match - 0.2472629969322218
Document 55, match - 0.24433312616644687
Document 53, match - 0.23802412492663558
Document 15, match - 0.2357830079976545
Document 39, match - 0.2357830079976545
Document 91, match - 0.23574838606793724
Document 79, match - 0.2296001684594123
Document 84, match - 0.22717589946943142
Document 61, match - 0.22572565998078697
Document 49, match - 0.22550345560165688
Document 47, match - 0.22440925882309115
Document 77, match - 0.22432880907662994
Document 95, match - 0.22199134702933696
Document 59, match - 0.22071021839685181
Document 63, match - 0.21980730890319386
Document 64, match - 0.2182707015734196
Document 97, match - 0.2181421743733322
Document 67, match - 0.21764479387306623
Document 62, match - 0.2176429720023954
Document 54, match - 0.21754959550253006
Document 76, match - 0.2160984599252025
Document 58, match - 0.2143351495757562
Document 80, match - 0.2093929481846562
Document 83, match - 0.20759027271806407
Document 31, match - 0.20602208613063044
Document 9, match - 0.20253667701571357
Document 57, match - 0.20239023048681537
Document 78, match - 0.20015522975722685
Document 74, match - 0.20012949995378765
Document 72, match - 0.1931740769566119
Document 66, match - 0.19244896639386957
Document 87, match - 0.19166952617092084
Document 65, match - 0.18871561655069113
Document 98, match - 0.18829098271700265
Document 8, match - 0.18571800324898968
Document 25, match - 0.18485320844422823
Document 89, match - 0.18231126704439618
Document 81, match - 0.18012247521831593
Document 82, match - 0.17874868391652632
Document 69, match - 0.17872354921844136
Document 22, match - 0.1786827370503521
Document 86, match - 0.17474141414573963
Document 4, match - 0.17463771420678253
Document 93, match - 0.1746211392821272
Document 94, match - 0.17241455268312436
Document 88, match - 0.17167344138988933
Document 20, match - 0.17027016944760148
Document 92, match - 0.1673824400056152
Document 73, match - 0.16656304598325158
Document 10, match - 0.16416057524846547
Document 70, match - 0.15427912730830587
Document 71, match - 0.15282589629215138
Document 7, match - 0.1503481017975378
Document 68, match - 0.14970448806482217
Document 5, match - 0.14525784688303833
Document 21, match - 0.13265461421476546
Document 85, match - 0.12197516852296193
Document 3, match - 0.10230128994697259
Document 34, match - 0.04459702328520635
