Search result:
Query: 'force jedi tatooine'
Document: 
Document 32, match - 0.7691425655825319
Document 33, match - 0.371030614168457
Document 30, match - 0.3674447798045147
Document 18, match - 0.361617773399179
Document 42, match - 0.361617773399179
Document 17, match - 0.3414394307810206
Document 41, match - 0.3414394307810206
Document 6, match - 0.33851192439216654
Document 29, match - 0.31507540491902497
Document 19, match - 0.30834866673596256
Document 43, match - 0.30834866673596256
Document 52, match - 0.30301211960094504
Document 26, match - 0.3025308137474383
Document 8, match - 0.3008161899173272
Document 28, match - 0.2990790257526314
Document 24, match - 0.2979312632583368
Document 51, match - 0.2970926449311606
Document 23, match - 0.2967489118333883
Document 90, match - 0.2938726581661943
Document 45, match - 0.2884779269385764
Document 100, match - 0.2878307567736425
Document 14, match - 0.2868407986977951
Document 38, match - 0.2868407986977951
Document 11, match - 0.28362222269728576
Document 35, match - 0.28362222269728576
Document 99, match - 0.2809291040131055
Document 13, match - 0.28087556782055983
Document 37, match - 0.28087556782055983
Document 48, match - 0.280284985178476
Document 44, match - 0.2796913202643486
Document 1, match - 0.27779414456240303
Document 46, match - 0.27635109265998786
Document 16, match - 0.27576954062930414
Document 40, match - 0.27576954062930414
Document 96, match - 0.27393863981270583
Document 2, match - 0.2707801034650671
Document 50, match - 0.26871677892047197
Document 27, match - 0.2681374851701873
Document 56, match - 0.2662240149477474
Document 75, match - 0.2630624704632285
Document 12, match - 0.26109678513206813
Document 36, match - 0.26109678513206813
Document 55, match - 0.2610413268261619
Document 60, match - 0.259373639171254
Document 53, match - 0.2522344219628039
Document 15, match - 0.24889548614400306
Document 39, match - 0.24889548614400306
Document 91, match - 0.24527815823917878
Document 47, match - 0.24187848640643297
Document 84, match - 0.24088960585452787
Document 79, match - 0.24058543436841096
Document 61, match - 0.24040953227507722
Document 49, match - 0.2399897388940726
Document 65, match - 0.23852144024533667
Document 77, match - 0.23787291045914644
Document 95, match - 0.23527503930628726
Document 64, match - 0.23311940393106936
Document 59, match - 0.2330822480553217
Document 62, match - 0.2327869056522415
Document 67, match - 0.23203344037948087
Document 63, match - 0.2312935801914501
Document 54, match - 0.23002591897533617
Document 97, match - 0.22980993072684003
Document 76, match - 0.22936372707447353
Document 58, match - 0.22677555617339482
Document 83, match - 0.22503215861060422
Document 9, match - 0.22200647646836916
Document 80, match - 0.22112872822018037
Document 31, match - 0.2204682545387771
Document 74, match - 0.21559327974908477
Document 78, match - 0.21285565046631777
Document 57, match - 0.21137328546513615
Document 87, match - 0.20587854444274786
Document 66, match - 0.2056547854994189
Document 72, match - 0.20332117796991764
Document 89, match - 0.20124332133368616
Document 98, match - 0.19983304146079275
Document 22, match - 0.19293943297434224
Document 81, match - 0.1910562309830624
Document 82, match - 0.19091905083022
Document 69, match - 0.19082130287684576
Document 25, match - 0.19077458998631314
Document 4, match - 0.18894016563767194
Document 86, match - 0.18596453597200255
Document 10, match - 0.18566567779554308
Document 88, match - 0.1855281923574836
Document 93, match - 0.18352265984463137
Document 94, match - 0.1830774976666468
Document 92, match - 0.18017576194231114
Document 20, match - 0.18002457664343627
Document 73, match - 0.1738413064819607
Document 70, match - 0.1639711612904091
Document 7, match - 0.16318436479312554
Document 71, match - 0.16209079424587028
Document 68, match - 0.16148917998555215
Document 5, match - 0.15876907464719653
Document 21, match - 0.14185883137027502
Document 85, match - 0.1334932673502135
Document 3, match - 0.11029241665922361
Document 34, match - 0.04652357795179078
