Search result:
Query: 'зугурука'
Document: 
Document 84, match - 0.4890150991213406
Document 75, match - 0.17663471681608556
Document 82, match - 0.14627490258830997
Document 94, match - 0.1427610302250833
Document 76, match - 0.13543241006597564
Document 90, match - 0.11989572914355491
Document 87, match - 0.1177749943341299
Document 95, match - 0.1157379770471369
Document 100, match - 0.1154501986692615
Document 61, match - 0.11353088940610184
Document 44, match - 0.11334718295028803
Document 83, match - 0.11156556068933178
Document 99, match - 0.11021882082709104
Document 53, match - 0.1096652774291673
Document 96, match - 0.10805180817052297
Document 62, match - 0.10470443504271144
Document 63, match - 0.09908011653654393
Document 74, match - 0.09900189945673961
Document 48, match - 0.09712858400458305
Document 77, match - 0.09662423722638963
Document 33, match - 0.0961786791794417
Document 6, match - 0.09569318781474558
Document 97, match - 0.09442114224959293
Document 89, match - 0.09074577836223231
Document 98, match - 0.0873634915655063
Document 79, match - 0.08607920064981392
Document 50, match - 0.08564424097793531
Document 45, match - 0.08474732024539566
Document 80, match - 0.08465600207203204
Document 88, match - 0.08457231779078249
Document 46, match - 0.08370599267604327
Document 64, match - 0.08208783809756424
Document 85, match - 0.08165380207795148
Document 81, match - 0.08151239713438391
Document 54, match - 0.08101159594494524
Document 52, match - 0.08043431550221312
Document 66, match - 0.08040637125806338
Document 55, match - 0.08014823786592223
Document 86, match - 0.08003562968054802
Document 69, match - 0.07983462265196885
Document 56, match - 0.07929659713086527
Document 59, match - 0.0789901430320625
Document 71, match - 0.07874273887400413
Document 31, match - 0.0783320423177033
Document 11, match - 0.0769890803679704
Document 35, match - 0.0769890803679704
Document 47, match - 0.07571359166529244
Document 1, match - 0.07467146503692397
Document 57, match - 0.0746199920145598
Document 51, match - 0.0721814359799496
Document 13, match - 0.07128706364895927
Document 37, match - 0.07128706364895927
Document 65, match - 0.07100542905742328
Document 67, match - 0.07061253986445931
Document 29, match - 0.07047842523160863
Document 78, match - 0.07039783376117624
Document 73, match - 0.0699536670470203
Document 16, match - 0.0665734713226003
Document 40, match - 0.0665734713226003
Document 58, match - 0.06568883699372685
Document 19, match - 0.06539261851700055
Document 43, match - 0.06539261851700055
Document 49, match - 0.06435145384329619
Document 12, match - 0.06354072459488208
Document 36, match - 0.06354072459488208
Document 14, match - 0.06321195871981279
Document 38, match - 0.06321195871981279
Document 23, match - 0.06062868630607134
Document 27, match - 0.0605231928389055
Document 17, match - 0.05971267868475479
Document 41, match - 0.05971267868475479
Document 70, match - 0.05964119813339727
Document 18, match - 0.059257306417091725
Document 42, match - 0.059257306417091725
Document 9, match - 0.058172827054897125
Document 2, match - 0.05811909688809883
Document 15, match - 0.058011433420410485
Document 39, match - 0.058011433420410485
Document 28, match - 0.05706269629541489
Document 24, match - 0.054644142108814395
Document 68, match - 0.05421897468579038
Document 4, match - 0.05380752310845555
Document 22, match - 0.053769944973847746
Document 32, match - 0.05314948943252913
Document 72, match - 0.05181123039165227
Document 91, match - 0.04987996186346006
Document 26, match - 0.048766935990132564
Document 92, match - 0.04654901016766395
Document 60, match - 0.04606651525537355
Document 3, match - 0.04072444486770097
Document 8, match - 0.037308596835877506
Document 7, match - 0.036240278766935634
Document 93, match - 0.03427595448891261
Document 25, match - 0.03330111875700644
Document 30, match - 0.0326112828654591
Document 21, match - 0.032350735969117216
Document 5, match - 0.030997802330932946
Document 20, match - 0.02631160238639954
Document 10, match - 0.024056739115056486
Document 34, match - 0.0004591003920123571
