Term,IDF
0,1.108663
00,2.813411
000,1.272966
00gbnlj4g0,3.912023
00j,3.912023
00k,3.912023
00qe,3.912023
01,2.813411
01302,3.912023
01䜅,3.912023
02,2.65926
03,2.995732
0371,3.912023
039,3.912023
04,3.506558
0410,3.912023
05,2.65926
051,3.912023
06,3.218876
07,2.813411
08,2.525729
08x,3.912023
09,2.525729
09vcjgg7wm,3.912023
0_0,3.912023
0b6,3.912023
0c,3.912023
0d,3.912023
0dk,3.912023
0e,3.912023
0f,3.912023
0fh,3.912023
0g,3.912023
0iy_,3.912023
0j,3.912023
0k,3.912023
0l,3.912023
0n,3.912023
0o,3.912023
0q,3.912023
0s5rx,3.912023
0sy,3.912023
0v,3.912023
0x,3.912023
0xvqp,3.912023
0y,3.912023
0z,3.912023
0ĭ,3.912023
0ǉ,3.912023
0ʮ,3.912023
0ʻi,3.912023
0ѵ9,3.912023
0ӫ,3.912023
0弽,3.912023
1,0.061875
10,0.127833
100,0.994252
1000,2.120264
10000,2.995732
100000,3.218876
1000000,3.506558
100000000,3.912023
1003,3.912023
1004,3.218876
1004кк,3.506558
100px,3.912023
101,1.966113
1013,3.912023
102,1.966113
103,1.89712
104,1.966113
10465,3.912023
105,1.966113
10579310,3.912023
106,1.966113
107,1.966113
108,1.966113
109,1.966113
10p,3.912023
11,0.248461
110,1.832581
1100,3.506558
11000,3.912023
11030,3.912023
111,1.966113
1119,3.506558
1119кк,3.506558
112,1.89712
113,1.832581
1138,2.407946
1138кк,3.506558
114,1.966113
115,1.832581
116,1.966113
117,2.120264
118,2.040221
1183,3.912023
1184,3.912023
1187,3.912023
119,2.120264
11933,3.912023
11987,3.912023
12,0.248461
120,1.771957
12000,3.506558
120px,3.912023
121,1.832581
121asn,3.506558
121b,3.912023
122,2.207275
123,2.207275
1230,3.912023
124,2.120264
125,2.120264
12500,3.912023
126,2.207275
127,1.966113
12756,3.912023
128,2.525729
129,2.525729
12a,3.506558
13,0.328504
130,1.660731
1300,3.506558
13000,3.912023
130t,3.506558
131,2.407946
13183,3.912023
132,2.120264
133,2.120264
134,2.120264
135,2.302585
136,2.407946
137,1.89712
138,1.966113
139,2.65926
13x,3.912023
14,0.356675
140,2.65926
1400,3.912023
14000,3.506558
141,2.813411
142,2.65926
143,2.813411
144,2.65926
145,2.813411
14500,3.912023
146,2.995732
1466,3.912023
147,2.995732
148,2.813411
149,2.813411
15,0.400478
150,2.813411
1500,3.912023
15000,3.218876
150000,3.912023
151,2.995732
152,2.65926
153,2.813411
154,2.995732
155,2.995732
15500,3.506558
156,2.995732
157,2.813411
158,2.525729
159,2.995732
15a,3.912023
16,0.385662
160,2.525729
161,2.995732
162,2.995732
163,2.995732
164,2.813411
165,2.995732
166,2.813411
167,2.995732
168,2.995732
16899,3.912023
169,2.995732
17,0.430783
170,2.65926
17000,3.912023
1707,3.506558
171,2.995732
1719,3.506558
172,2.995732
173,2.813411
174,2.995732
175,2.813411
176,3.506558
177,2.995732
178,3.912023
179,3.912023
1799,3.506558
18,0.494296
180,3.506558
181,3.506558
